Year ;From;To;Distance (Kilometers)
2013;Makkah;Baha;279.0
2013;Makkah;Jeddah;100.0
2013;Makkah;Hofuf;1264.0
2013;Najran;Riyadh;1273.0
2013;Najran;Sakaka;2182.0
2013;Najran;Abha;257.0
2013;Najran;Najran;0.0
2013;Najran;Khobar;1689.0
2013;Najran;Baha;552.0
2013;Najran;Tabuk;1936.0
2013;Abqiq;Riyadh;332.0
2013;Abqiq;Jazan;1604.0
2013;Abqiq;Abha;1262.0
2013;Abqiq;Makkah;1202.0
2013;Abqiq;Hufr Al-Baten;545.0
2013;Abqiq;Jeddah;1281.0
2013;Abqiq;Tabuk;1636.0
2013;Abha;Madinah;1007.0
2013;Abha;Makkah;574.0
2013;Abha;Jeddah;674.0
2013;Baha;Dammam;1401.0
2013;Baha;Majma'ah;1165.0
2013;Baha;Hufr Al-Baten;1468.0
2013;Baha;Buraidah;1205.0
2013;Baha;Kharj;1072.0
2013;Khobar;Riyadh;416.0
2013;Khobar;Jazan;2108.0
2013;Khobar;Majma'ah;596.0
2013;Khobar;Sakaka;1225.0
2013;Khobar;Abha;1316.0
2013;Khobar;Makkah;1274.0
2013;Khobar;Taif;1198.0
2013;Khobar;Najran;1689.0
2013;Khobar;Khobar;0.0
2013;Khobar;Abqiq;63.0
2013;Khobar;Baha;1393.0
2013;Khobar;Jeddah;1374.0
2013;Kharj;Hail;705.0
2013;Kharj;Abha;938.0
2013;Kharj;Najran;1195.0
2013;Kharj;Khobar;382.0
2013;Dammam;Arar;1047.0
2013;Dammam;Turaif;1289.0
2013;Dammam;Baha;1401.0
2013;Dammam;Tabuk;1674.0
2013;Riyadh;Hail;627.0
2013;Riyadh;Taif;782.0
2013;Taif;Arar;1581.0
2013;Taif;Dammam;1198.0
2013;Taif;Majma'ah;962.0
2013;Taif;Sakaka;1427.0
2013;Taif;Abha;498.0
2013;Taif;Makkah;76.0
2013;Taif;Taif;0.0
2013;Taif;Hufr Al-Baten;265.0
2013;Taif;Khobar;1198.0
2013;Taif;Abqiq;1114.0
2013;Taif;Jeddah;176.0
2013;Qurayat;Jazan;2231.0
2013;Qurayat;Makkah;1509.0
2013;Qurayat;Kharj;1323.0
2013;Qurayat;Tabuk;621.0
2013;Majma'ah;Sakaka;845.0
2013;Majma'ah;Taif;962.0
2013;Madinah;Dammam;1271.0
2013;Madinah;Sakaka;918.0
2013;Madinah;Madinah;0.0
2013;Madinah;Hufr Al-Baten;978.0
2013;Madinah;Buraidah;493.0
2013;Madinah;Hofuf;1261.0
2013;Hofuf;Hail;1023.0
2013;Hofuf;Majma'ah;586.0
2013;Hofuf;Turaif;1435.0
2013;Hofuf;Baha;1391.0
2013;Buraidah;Hufr Al-Baten;485.0
2013;Buraidah;Buraidah;0.0
2013;Buraidah;Kharj;440.0
2013;Buraidah;Tabuk;896.0
2013;Tabuk;Riyadh;1258.0
2013;Tabuk;Khobar;1698.0
2013;Tabuk;Baha;1384.0
2013;Tabuk;Jeddah;1093.0
2013;Jeddah;Dammam;1374.0
2013;Jeddah;Jazan;734.0
2013;Jeddah;Turaif;1653.0
2013;Jeddah;Hufr Al-Baten;1441.0
2013;Jeddah;Baha;379.0
2013;Jeddah;Buraidah;914.0
2013;Jeddah;Kharj;1016.0
2013;Jazan;Hail;1766.0
2013;Jazan;Turaif;2387.0
2013;Jazan;Qurayat;2231.0
2013;Hail;Arar;728.0
2013;Hail;Hufr Al-Baten;750.0
2013;Hufr Al-Baten;Hail;750.0
2013;Hufr Al-Baten;Makkah;1341.0
2013;Hufr Al-Baten;Baha;1468.0
2013;Hufr Al-Baten;Jeddah;1441.0
2013;Hufr Al-Baten;Tabuk;1381.0
2013;Hufr Al-Baten;Hofuf;629.0
2013;Sakaka;Majma'ah;918.0
2013;Sakaka;Makkah;1351.0
2013;Sakaka;Najran;2182.0
2013;Sakaka;Abqiq;1288.0
2013;Sakaka;Kharj;1103.0
2013;Sakaka;Jeddah;1339.0
2013;Turaif;Jazan;2387.0
2013;Turaif;Majma'ah;1120.0
2013;Turaif;Tabuk;777.0
2013;Arar;Dammam;1047.0
2013;Arar;Najran;2231.0
2013;Arar;Abqiq;1470.0
2013;Arar;Buraidah;817.0
2013;Makkah;Dammam;1274.0
2013;Makkah;Sakaka;1351.0
2013;Makkah;Najran;831.0
2013;Makkah;Abqiq;1202.0
2013;Makkah;Kharj;936.0
2013;Najran;Madinah;1264.0
2013;Najran;Kharj;1195.0
2013;Abqiq;Majma'ah;517.0
2013;Abqiq;Madinah;1180.0
2013;Abqiq;Kharj;319.0
2013;Abha;Majma'ah;1201.0
2013;Abha;Baha;295.0
2013;Abha;Buraidah;1378.0
2013;Abha;Qurayat;2083.0
2013;Baha;Arar;1784.0
2013;Baha;Riyadh;985.0
2013;Baha;Najran;552.0
2013;Baha;Khobar;1392.0
2013;Khobar;Hail;1043.0
2013;Khobar;Turaif;1313.0
2013;Khobar;Tabuk;1698.0
2013;Khobar;Hofuf;124.0
2013;Kharj;Dammam;406.0
2013;Kharj;Abqiq;319.0
2013;Kharj;Kharj;0.0
2013;Kharj;Qurayat;1323.0
2013;Dammam;Hail;1043.0
2013;Dammam;Dammam;0.0
2013;Dammam;Sakaka;1201.0
2013;Dammam;Abha;1432.0
2013;Dammam;Taif;1198.0
2013;Dammam;Kharj;406.0
2013;Riyadh;Dammam;416.0
2013;Riyadh;Turaif;1300.0
2013;Riyadh;Kharj;78.0
2013;Riyadh;Tabuk;1258.0
2013;Riyadh;Hofuf;406.0
2013;Riyadh;Qurayat;1245.0
2013;Taif;Riyadh;782.0
2013;Taif;Jazan;727.0
2013;Taif;Turaif;1741.0
2013;Taif;Najran;755.0
2013;Taif;Tabuk;1181.0
2013;Taif;Qurayat;1585.0
2013;Qurayat;Arar;398.0
2013;Qurayat;Hail;794.0
2013;Qurayat;Majma'ah;1373.0
2013;Qurayat;Hufr Al-Baten;1070.0
2013;Qurayat;Abqiq;1382.0
2013;Majma'ah;Madinah;675.0
2013;Majma'ah;Makkah;1038.0
2013;Majma'ah;Khobar;596.0
2013;Majma'ah;Abqiq;517.0
2013;Madinah;Arar;1072.0
2013;Madinah;Majma'ah;675.0
2013;Madinah;Makkah;433.0
2013;Madinah;Najran;1264.0
2013;Madinah;Khobar;1471.0
2013;Madinah;Tabuk;672.0
2013;Hofuf;Dammam;146.0
2013;Hofuf;Madinah;1261.0
2013;Hofuf;Makkah;1264.0
2013;Hofuf;Hufr Al-Baten;629.0
2013;Hofuf;Buraidah;786.0
2013;Hofuf;Qurayat;1651.0
2013;Buraidah;Arar;817.0
2013;Buraidah;Dammam;778.0
2013;Buraidah;Taif;1002.0
2013;Buraidah;Khobar;778.0
2013;Buraidah;Hofuf;768.0
2013;Tabuk;Najran;1936.0
2013;Tabuk;Hufr Al-Baten;1381.0
2013;Tabuk;Abqiq;1636.0
2013;Tabuk;Qurayat;621.0
2013;Jeddah;Sakaka;1339.0
2013;Jeddah;Taif;176.0
2013;Jeddah;Najran;931.0
2013;Jeddah;Jeddah;0.0
2013;Jeddah;Hofuf;1364.0
2013;Jazan;Jazan;0.0
2013;Jazan;Makkah;803.0
2013;Jazan;Taif;727.0
2013;Jazan;Buraidah;1607.0
2013;Jazan;Kharj;1323.0
2013;Hail;Kharj;705.0
2013;Hufr Al-Baten;Riyadh;483.0
2013;Hufr Al-Baten;Najran;1756.0
2013;Hufr Al-Baten;Kharj;561.0
2013;Hufr Al-Baten;Qurayat;1070.0
2013;Sakaka;Abha;1925.0
2013;Sakaka;Taif;1427.0
2013;Sakaka;Hufr Al-Baten;1148.0
2013;Turaif;Najran;2496.0
2013;Turaif;Jeddah;1653.0
2013;Turaif;Hofuf;1435.0
2013;Arar;Riyadh;1058.0
2013;Arar;Abha;2079.0
2013;Arar;Madinah;1072.0
2013;Arar;Taif;1581.0
2013;Arar;Khobar;1071.0
2013;Arar;Kharj;1136.0
2013;Makkah;Riyadh;858.0
2013;Makkah;Majma'ah;1038.0
2013;Makkah;Taif;76.0
2013;Makkah;Khobar;1274.0
2013;Makkah;Buraidah;926.0
2013;Najran;Arar;2331.0
2013;Najran;Dammam;1689.0
2013;Najran;Jazan;486.0
2013;Najran;Hofuf;1679.0
2013;Abqiq;Hail;972.0
2013;Abqiq;Abqiq;0.0
2013;Abha;Abha;0.0
2013;Abha;Taif;498.0
2013;Abha;Najran;257.0
2013;Abha;Abqiq;1262.0
2013;Abha;Hofuf;1422.0
2013;Baha;Sakaka;1630.0
2013;Baha;Abha;295.0
2013;Baha;Makkah;279.0
2013;Baha;Turaif;1944.0
2013;Baha;Taif;203.0
2013;Baha;Jeddah;379.0
2013;Khobar;Arar;1071.0
2013;Khobar;Hufr Al-Baten;506.0
2013;Khobar;Kharj;382.0
2013;Kharj;Majma'ah;258.0
2013;Kharj;Taif;860.0
2013;Kharj;Hofuf;337.0
2013;Dammam;Riyadh;416.0
2013;Dammam;Hufr Al-Baten;482.0
2013;Dammam;Khobar;24.0
2013;Dammam;Buraidah;778.0
2013;Dammam;Qurayat;1445.0
2013;Riyadh;Riyadh;0.0
2013;Riyadh;Makkah;858.0
2013;Riyadh;Najran;1273.0
2013;Riyadh;Baha;985.0
2013;Taif;Baha;203.0
2013;Taif;Buraidah;1002.0
2013;Taif;Kharj;860.0
2013;Qurayat;Hofuf;1651.0
2013;Majma'ah;Riyadh;80.0
2013;Majma'ah;Jazan;1425.0
2013;Majma'ah;Najran;1453.0
2013;Majma'ah;Jeddah;1138.0
2013;Madinah;Hail;611.0
2013;Madinah;Jazan;1155.0
2013;Madinah;Taif;509.0
2013;Hofuf;Arar;1159.0
2013;Hofuf;Jazan;1651.0
2013;Hofuf;Taif;1188.0
2013;Hofuf;Kharj;337.0
2013;Buraidah;Riyadh;362.0
2013;Buraidah;Abha;1378.0
2013;Buraidah;Turaif;1039.0
2013;Tabuk;Majma'ah;1078.0
2013;Tabuk;Madinah;672.0
2013;Tabuk;Buraidah;896.0
2013;Jeddah;Arar;1493.0
2013;Jeddah;Hail;1032.0
2013;Jeddah;Madinah;421.0
2013;Jazan;Arar;2227.0
2013;Jazan;Abha;229.0
2013;Jazan;Madinah;1155.0
2013;Jazan;Hufr Al-Baten;1728.0
2013;Hail;Riyadh;627.0
2013;Hail;Makkah;1044.0
2013;Hail;Abqiq;972.0
2013;Hail;Tabuk;657.0
2013;Hail;Qurayat;794.0
2013;Hufr Al-Baten;Dammam;482.0
2013;Hufr Al-Baten;Turaif;1193.0
2013;Hufr Al-Baten;Buraidah;485.0
2013;Sakaka;Riyadh;1025.0
2013;Sakaka;Hail;574.0
2013;Sakaka;Sakaka;0.0
2013;Sakaka;Khobar;1225.0
2013;Turaif;Abha;2239.0
2013;Turaif;Madinah;1224.0
2013;Turaif;Taif;741.0
2013;Turaif;Abqiq;1352.0
2013;Turaif;Baha;1944.0
2013;Turaif;Qurayat;156.0
2013;Arar;Arar;0.0
2013;Arar;Jazan;2227.0
2013;Makkah;Abha;574.0
2013;Makkah;Turaif;1665.0
2013;Makkah;Qurayat;1509.0
2013;Najran;Majma'ah;1453.0
2013;Najran;Makkah;831.0
2013;Najran;Turaif;2496.0
2013;Najran;Taif;755.0
2013;Najran;Hufr Al-Baten;1756.0
2013;Najran;Jeddah;931.0
